id,langue,examen1,reponse
74,alemmand,11.3464602017448,incorrect
75,alemmand,93.09291056872925,correct
76,alemmand,97.42482085344102,correct
77,alemmand,99.59312420303291,correct
78,japonais,5.587115467735004,incorrect
79,japonais,73.70355567910089,incorrect
80,alemmand,54.591577016498896,correct
81,japonais,70.58314838786946,correct
82,italien,96.86519439741349,correct
83,alemmand,68.8030010175039,correct
84,italien,83.69638742373738,correct
85,italien,86.68687053108414,correct
86,alemmand,83.84807637639851,incorrect
87,japonais,42.609147504694114,incorrect
88,italien,22.257641757103052,correct
89,alemmand,39.66516019542519,incorrect
90,italien,89.18969087767766,correct
91,italien,14.660482169202549,correct
92,italien,51.33261686923929,correct
93,italien,23.322807242452782,correct
94,japonais,58.13054172267823,correct
95,italien,86.31385219890039,correct
96,italien,88.03599686384167,correct
97,italien,23.668519368207875,correct
98,japonais,90.76937063485462,correct
99,italien,59.18887388212843,correct
100,italien,35.02182467003136,correct
101,japonais,70.81811955831998,incorrect
102,japonais,48.16669879641153,correct
103,japonais,37.798759012225446,incorrect
104,italien,70.50843642966599,correct
105,japonais,24.872415443028796,incorrect
106,japonais,33.02525290190985,incorrect
107,italien,43.445184448827135,correct
108,japonais,25.368217387313873,incorrect
109,italien,40.520208678141714,correct
110,alemmand,57.147302520501064,correct
111,japonais,74.09738609106682,incorrect
112,alemmand,76.71948531085717,correct
113,italien,82.27903518766931,correct
114,japonais,74.4211656943298,incorrect
115,italien,68.1039427096909,correct
116,alemmand,23.750647129246993,incorrect
117,italien,40.02228928720248,correct
118,japonais,47.77148908802277,incorrect
119,japonais,8.289132169335423,incorrect
120,alemmand,52.83701212972092,correct
121,italien,43.6335831606556,incorrect
122,japonais,80.21092490267341,correct
123,alemmand,97.79006687542709,incorrect
124,japonais,55.60050386425846,correct
125,japonais,32.268638827758366,incorrect
126,italien,4.340078329817276,correct
127,japonais,92.4643330223596,correct
128,italien,91.91157152786595,correct
129,japonais,25.29901679892411,incorrect
130,alemmand,69.54111231066476,incorrect
131,japonais,7.543454708976927,incorrect
132,italien,16.62154319092529,correct
133,italien,21.680910658649122,correct
134,alemmand,29.449394683942987,correct
135,japonais,99.58313750293706,correct
136,japonais,69.69250558638149,correct
137,alemmand,38.420183137921995,correct
138,japonais,73.71007058430192,incorrect
139,japonais,91.52543416691063,incorrect
140,italien,95.87024074078462,correct
141,japonais,5.78638977577074,correct
142,japonais,39.45217986081298,correct
143,alemmand,10.675606593588437,correct
144,alemmand,33.56600647969632,incorrect
145,italien,16.967990389556554,correct
146,japonais,64.68483616687239,correct
147,japonais,38.82683839898722,correct
148,japonais,22.939474570494966,incorrect
149,italien,26.593792496423895,incorrect
150,italien,36.034509520526825,correct
151,alemmand,25.99498628542627,incorrect
152,italien,45.324084682883104,correct
153,japonais,3.2315951109650465,correct
154,japonais,27.976350716894572,incorrect
155,italien,41.12067208721862,correct
156,japonais,60.27818820232985,incorrect
157,japonais,27.09576425151299,incorrect
158,italien,13.31851252237497,correct
159,italien,7.620037959916315,correct
160,japonais,94.05318271353835,incorrect
161,japonais,41.66390577384792,incorrect
162,japonais,58.11626211808263,incorrect
163,alemmand,91.91765518355595,correct
164,alemmand,8.274842003530614,correct
165,alemmand,87.66614859257928,correct
166,italien,55.158787254407,correct
167,alemmand,16.483426113700094,correct
168,italien,41.12551165853691,incorrect
169,italien,77.76022837352255,correct
170,alemmand,48.03700818663547,correct
171,alemmand,98.52860506655044,correct
172,alemmand,37.673896993794074,correct
173,japonais,74.9578299976072,incorrect
174,alemmand,39.29894489788591,correct
175,japonais,82.91642207065144,correct
176,italien,56.908146916574765,correct
177,japonais,6.351182959000134,incorrect
178,alemmand,3.682186763599138,incorrect
179,italien,13.38521188006332,correct
180,italien,1.3671964826997285,correct
181,italien,7.5359060352462315,correct
182,japonais,69.1714397168912,incorrect
183,alemmand,53.434627502946306,correct
184,italien,74.99107494699719,correct
185,italien,91.31657522576428,correct
186,italien,58.51495323254719,correct
187,japonais,72.61208440718481,incorrect
188,japonais,75.70812020424559,correct
189,alemmand,37.78505492757864,correct
190,japonais,24.108483232963184,correct
191,italien,20.50453285065249,correct
192,alemmand,25.144243951179845,incorrect
193,italien,27.473179702590876,correct
194,italien,20.722764900805647,correct
195,japonais,87.82206674791922,incorrect
196,alemmand,75.69991321722287,correct
197,japonais,4.689646779121992,incorrect
198,japonais,26.867248202530735,incorrect
199,alemmand,2.218474203030163,correct
200,italien,49.816518664589296,correct
201,italien,47.62106967890142,incorrect
202,alemmand,83.13714900625013,correct
203,italien,30.77772397710494,correct
204,alemmand,81.63857352130623,correct
205,alemmand,96.79737654398231,incorrect
206,japonais,8.840822336564658,correct
207,alemmand,79.1817839469633,correct
208,japonais,58.99558971376361,correct
209,italien,48.00459670184751,correct
210,italien,42.05357786650751,correct
211,italien,78.46682639443095,correct
212,italien,63.936135697424234,correct
213,japonais,80.50446675193619,correct
214,italien,90.31510586766262,correct
215,alemmand,61.7263712097292,correct
216,alemmand,98.04627250923778,correct
217,alemmand,60.808784954188525,correct
218,japonais,63.66443216222826,incorrect
219,italien,55.481560854222565,correct
220,italien,9.100209105133029,correct
221,italien,72.63970326502283,correct
222,japonais,54.744630689911155,incorrect
223,alemmand,45.09104474161044,incorrect
224,alemmand,91.0471278403273,correct
225,italien,29.795945154195046,correct
226,alemmand,52.36022760150112,incorrect
227,alemmand,69.76418714934634,correct
228,japonais,79.64717756738773,correct
229,japonais,45.93468079461724,correct
230,japonais,84.20914150187096,correct
231,japonais,76.89177413153975,incorrect
232,italien,6.623597785186586,correct
233,japonais,4.586126640463295,correct
234,alemmand,62.08056844220913,correct
235,italien,34.741340822541424,incorrect
236,alemmand,20.913079107851416,incorrect
237,alemmand,57.96499344717384,correct
238,alemmand,34.1563210456545,incorrect
239,japonais,53.726341671407006,incorrect
240,japonais,46.0119158983572,incorrect
241,italien,58.47661059491537,correct
242,italien,40.03004889102814,correct
243,japonais,69.76675736969318,incorrect
244,alemmand,18.006727234929855,correct
245,italien,69.6501466227079,correct
246,japonais,41.166121435752814,correct
247,japonais,87.43176048544171,correct
248,japonais,51.52360548642109,correct
249,alemmand,97.31103492701043,correct
250,japonais,60.19353955409602,incorrect
251,japonais,22.38490659063206,incorrect
252,japonais,82.17906368444491,incorrect
253,japonais,34.508262782238674,incorrect
254,italien,34.76192144826835,correct
255,italien,3.180468148516513,correct
256,japonais,54.87153092074087,incorrect
257,alemmand,53.4423503732523,correct
258,italien,35.599148427198614,correct
259,japonais,89.42172628959257,correct
260,italien,12.87483982996439,correct
261,italien,33.00995133101554,incorrect
262,alemmand,32.1582764680029,incorrect
263,japonais,9.229058622874609,incorrect
264,japonais,48.11453940562932,incorrect
265,alemmand,68.7784717096083,incorrect
266,alemmand,51.165701354726124,correct
267,japonais,15.697768271619372,incorrect
268,japonais,37.72859652420726,incorrect
269,alemmand,0.25950243836465603,correct
270,italien,86.83011070355869,correct
271,italien,8.451700768068193,correct
272,alemmand,59.72780822554306,correct
273,italien,98.62569958668152,correct
274,alemmand,53.65906459873325,incorrect
275,italien,92.40417591074332,correct
276,italien,23.611653311740433,correct
277,japonais,75.99554089375856,incorrect
278,japonais,53.126575397353406,incorrect
279,italien,72.05160613914649,correct
280,italien,6.234136251124145,correct
281,japonais,14.77390919062267,correct
282,japonais,13.311692858747826,incorrect
283,japonais,68.71655054033312,correct
284,alemmand,84.44406726336288,correct
285,italien,74.96162320085874,incorrect
286,japonais,3.047215273359416,correct
287,italien,86.72149810747233,correct
288,alemmand,35.414667079312544,incorrect
289,alemmand,39.71638325040825,correct
290,japonais,10.486916653248091,incorrect
291,alemmand,73.7405206093819,correct
292,italien,18.228387847595805,incorrect
293,japonais,56.39650920188364,incorrect
294,italien,84.07099858779311,correct
295,italien,8.92043287120562,correct
296,alemmand,53.53355640155235,incorrect
297,alemmand,23.32164115498012,incorrect
298,alemmand,34.29268642782603,correct
299,alemmand,47.396994143055615,incorrect
300,alemmand,35.51043032793048,correct
301,japonais,64.8822840291576,correct
302,italien,47.95821017542502,correct
303,italien,58.41994847141693,correct
304,italien,73.68224753949129,correct
305,italien,55.77422659504374,incorrect
306,alemmand,58.65354346607591,correct
307,italien,56.44585425226413,correct
308,japonais,37.87726259512893,correct
309,japonais,33.74468338719181,incorrect
310,italien,89.96473971450123,correct
311,italien,60.75552222935728,correct
312,japonais,24.435315546465453,incorrect
313,japonais,49.824769784894016,correct
314,alemmand,33.0348481280914,incorrect
315,japonais,93.36918237598746,correct
316,alemmand,0.753436313407474,incorrect
317,alemmand,22.533279771252822,correct
318,alemmand,36.535681967405765,correct
319,alemmand,48.78098008087379,incorrect
320,alemmand,85.08175178361462,correct
321,italien,8.788762454014387,correct
322,japonais,80.58648867411435,correct
323,alemmand,5.565348935697534,correct
324,japonais,84.23140352981817,correct
325,japonais,5.163547787451284,correct
326,alemmand,1.8242481428361046,correct
327,italien,69.69614623664215,correct
328,alemmand,99.72555347683944,incorrect
329,italien,89.66102629740207,correct
330,japonais,57.599841780565995,correct
331,italien,91.73956130855316,correct
332,italien,0.5300006397605417,correct
333,italien,97.50671629451425,correct
334,japonais,49.07487792587845,correct
335,japonais,72.28960966217757,correct
336,italien,82.08614731533525,correct
337,italien,71.84572708365536,correct
338,alemmand,53.50367320449105,correct
339,italien,47.661948412641195,correct
340,alemmand,83.85825587026248,incorrect
341,italien,20.50775601494591,correct
342,alemmand,96.79940665042342,correct
343,japonais,71.09524788367483,incorrect
344,italien,19.950692733831975,correct
345,italien,73.62471836984882,correct
346,italien,52.98400231811166,correct
347,italien,70.72300956444445,correct
348,alemmand,76.77795014428388,incorrect
349,italien,8.729017958967544,correct
350,japonais,50.6103956359347,correct
351,japonais,93.20143422569342,incorrect
352,italien,32.064219215951425,correct
353,japonais,59.388309755789884,correct
354,italien,36.923048150989615,correct
355,italien,45.426797221909965,correct
356,japonais,54.86031179381532,correct
357,italien,54.89219798889773,correct
358,japonais,20.173046233023584,correct
359,alemmand,68.45715478798333,correct
360,italien,8.78681112426568,correct
361,alemmand,13.882477344202037,correct
362,japonais,0.27108994143296705,incorrect
363,alemmand,11.669606414168133,correct
364,alemmand,47.31662010518922,incorrect
365,japonais,60.61018810558386,incorrect
366,alemmand,79.42894499664625,incorrect
367,alemmand,10.669925011343606,correct
368,japonais,85.07274600164547,incorrect
369,alemmand,74.59745255487181,incorrect
370,japonais,40.85182929359169,correct
371,alemmand,93.29380670999547,correct
372,japonais,99.09294764573906,incorrect
373,japonais,20.500181005323725,incorrect
374,alemmand,37.922858496380044,correct
375,alemmand,92.64494235897112,correct
376,alemmand,72.15965507512772,incorrect
377,italien,4.809464396408769,incorrect
378,italien,78.1514481751415,incorrect
379,italien,82.79408871774919,correct
380,japonais,75.05019247653135,correct
381,alemmand,79.95371309195156,correct
382,japonais,82.51326766927973,correct
383,italien,18.64049867881441,correct
384,alemmand,23.569174606499978,incorrect
385,japonais,63.37585637201772,correct
386,alemmand,90.7866130462516,incorrect
387,japonais,31.61965822964946,incorrect
388,alemmand,58.83066757950567,correct
389,italien,68.29820634171324,correct
390,italien,45.19486012990392,correct
391,alemmand,71.3782454855326,correct
392,japonais,89.96674452921731,correct
393,italien,62.41015441818376,correct
394,italien,53.978106191463304,correct
395,italien,43.874467538833905,correct
396,alemmand,57.74862709061257,correct
397,alemmand,35.53624518183959,correct
398,japonais,39.14821102015019,incorrect
399,japonais,53.185747968817395,correct
400,japonais,6.661911239081697,incorrect
401,alemmand,22.902539092479635,incorrect
402,alemmand,54.28493106134089,correct
403,japonais,43.152814313644264,correct
404,japonais,33.281578591248426,correct
405,alemmand,73.05491368093014,correct
406,japonais,69.37176074033384,incorrect
407,italien,16.673075999338316,correct
408,alemmand,87.86291153734382,correct
409,japonais,49.54236264039656,correct
410,alemmand,74.14609111390455,correct
411,italien,57.315084925738866,correct
412,alemmand,99.76926159238432,correct
413,alemmand,75.24031200388227,correct
414,alemmand,70.69804612434591,correct
415,alemmand,77.8571939050751,incorrect
416,italien,14.312798554846962,correct
417,alemmand,20.454459316946327,correct
418,alemmand,71.40640822236142,correct
419,japonais,49.398148713086265,correct
420,alemmand,75.46352918601166,incorrect
421,japonais,10.291603074414502,incorrect
422,italien,53.648135148459474,correct
423,italien,37.88215655569157,correct
424,italien,45.700021928167835,incorrect
425,italien,60.39578720725125,correct
426,japonais,50.228834746253014,incorrect
427,alemmand,53.98606371128367,incorrect
428,italien,48.63574819956078,correct
429,alemmand,40.89551770854932,correct
430,japonais,77.18819805982451,incorrect
431,japonais,1.2203072318044517,correct
432,japonais,59.8442701205227,correct
433,italien,56.55083473229738,correct
434,alemmand,71.61790747329522,correct
435,alemmand,59.90293647773265,incorrect
436,alemmand,82.67988278090783,incorrect
437,japonais,95.90747945640278,correct
438,italien,34.25242571785434,correct
439,japonais,22.7350983029987,incorrect
440,japonais,42.35968624204829,correct
441,alemmand,28.79296164757261,incorrect
442,japonais,61.49502631526544,correct
443,alemmand,91.18524088429648,correct
444,italien,13.911619414306188,incorrect
445,alemmand,10.07946030158865,correct
446,italien,25.60155318536622,correct
447,alemmand,72.60955860624007,incorrect
448,japonais,59.296290525882156,correct
449,japonais,10.221266422519959,incorrect
450,italien,91.87505222607464,correct
451,italien,79.00846371240867,correct
452,italien,2.3022604787637513,incorrect
453,alemmand,65.13672109882461,correct
454,alemmand,77.1246668519738,correct
455,italien,37.4435369720422,correct
456,japonais,6.892153936721879,correct
457,alemmand,7.7321065488787255,incorrect
458,alemmand,10.42469660518095,incorrect
459,alemmand,84.04396319804229,correct
460,italien,91.0686198255713,correct
461,italien,12.28107818457338,correct
462,italien,23.59060345950812,correct
463,italien,16.552051036728976,correct
464,italien,18.632087949412067,correct
465,japonais,83.7490789002492,incorrect
466,japonais,33.214641265493896,incorrect
467,italien,31.14442640456412,correct
468,alemmand,22.739562087711263,correct
469,italien,60.78943937942587,correct
470,japonais,37.93056983855488,correct
471,japonais,74.42496518432888,incorrect
472,alemmand,20.55798083756375,correct
473,japonais,78.77898887144924,incorrect
474,italien,60.3721531730139,correct
475,alemmand,11.426730005568775,correct
476,italien,41.450458420362764,correct
477,italien,86.3518140612957,correct
478,alemmand,92.29602317984849,correct
479,italien,46.57001223188132,correct
480,japonais,48.08369780890735,correct
481,italien,91.84547249393012,correct
482,alemmand,58.706822413656724,correct
483,alemmand,3.2846670243438347,correct
484,alemmand,91.27494628791288,correct
485,italien,24.822644275715188,correct
486,alemmand,57.76319540915472,correct
487,alemmand,16.55133174279738,correct
488,italien,3.3879160246594986,correct
489,japonais,31.14731711327574,correct
490,italien,78.04957075460877,correct
491,alemmand,27.75871726294181,correct
492,alemmand,22.009721408109705,correct
493,italien,21.26807843412263,correct
494,japonais,51.51736824068126,correct
495,alemmand,97.55413156827562,incorrect
496,alemmand,45.89889880170131,correct
497,alemmand,55.73053688900479,incorrect
498,italien,86.06320178907339,correct
499,alemmand,53.506971893365865,incorrect
500,japonais,18.44628714188561,incorrect
